HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Pars Jam Bushehr,Esteghlal Khuzestan,1,2,1,1
Arman Gohar,Darya Babol,0,0,0,0
Chadormalu SC,Saipa,0,0,0,0
Khooshe Talaee Saveh,Pars Jam Bushehr,2,0,0,0
Khalij Fars,Fajr Sepasi,0,4,0,1
Chooka Talesh,Mes Shahr-e Babak,0,1,0,0
Shams Azar Qazvin,Kheybar Khorramabad,2,1,1,1
Esteghlal Khuzestan,Van Pars Isfahan,2,0,0,0
Esteghlal Mollasani,Shahrdari Hamedan,1,1,1,0
Mes Shahr-e Babak,Arman Gohar,1,0,0,0
Fajr Sepasi,Esteghlal Mollasani,1,2,1,1
Saipa,Chooka Talesh,0,0,0,0
Van Pars Isfahan,Khalij Fars,2,0,0,0
Shahrdari Astara,Khooshe Talaee Saveh,0,0,0,0
Shahrdari Hamedan,Darya Babol,0,0,0,0
Pars Jam Bushehr,Chadormalu SC,0,1,0,0
Esteghlal Khuzestan,Shams Azar Qazvin,2,1,1,1
Esteghlal Mollasani,Kheybar Khorramabad,2,1,1,1
Darya Babol,Shahrdari Astara,2,0,0,0
Arman Gohar,Shahrdari Hamedan,1,0,0,0
Khooshe Talaee Saveh,Fajr Sepasi,1,1,1,0
Chadormalu SC,Mes Shahr-e Babak,1,1,1,0
Shams Azar Qazvin,Van Pars Isfahan,3,0,0,1
Khalij Fars,Saipa,0,1,0,0
Chooka Talesh,Esteghlal Khuzestan,1,0,0,0
Pars Jam Bushehr,Esteghlal Mollasani,2,1,1,1
Mes Shahr-e Babak,Khooshe Talaee Saveh,1,1,1,0
Fajr Sepasi,Darya Babol,4,1,1,1
Van Pars Isfahan,Chooka Talesh,1,0,0,0
Kheybar Khorramabad,Arman Gohar,2,0,0,0
Shams Azar Qazvin,Chadormalu SC,3,1,1,1
Shahrdari Astara,Shahrdari Hamedan,3,0,0,1
Esteghlal Khuzestan,Khalij Fars,2,0,0,0
Darya Babol,Pars Jam Bushehr,0,0,0,0
Arman Gohar,Saipa,2,1,1,1
Khalij Fars,Mes Shahr-e Babak,1,0,0,0
Chooka Talesh,Shams Azar Qazvin,0,3,0,1
Khooshe Talaee Saveh,Kheybar Khorramabad,1,1,1,0
Chadormalu SC,Esteghlal Khuzestan,2,2,1,1
Shahrdari Hamedan,Fajr Sepasi,1,2,1,1
Esteghlal Mollasani,Shahrdari Astara,0,0,0,0
Kheybar Khorramabad,Darya Babol,2,1,1,1
Saipa,Khooshe Talaee Saveh,1,0,0,0
Shahrdari Astara,Fajr Sepasi,0,0,0,0
Chadormalu SC,Chooka Talesh,3,3,1,1
Pars Jam Bushehr,Shahrdari Hamedan,1,0,0,0
Mes Shahr-e Babak,Esteghlal Mollasani,3,0,0,1
Shams Azar Qazvin,Khalij Fars,2,1,1,1
Van Pars Isfahan,Arman Gohar,1,1,1,0
Shahrdari Astara,Kheybar Khorramabad,0,0,0,0
Arman Gohar,Shams Azar Qazvin,0,0,0,0
Khooshe Talaee Saveh,Esteghlal Khuzestan,0,0,0,0
Khalij Fars,Chooka Talesh,0,0,0,0
Esteghlal Mollasani,Van Pars Isfahan,0,0,0,0
Darya Babol,Mes Shahr-e Babak,0,0,0,0
Shahrdari Hamedan,Saipa,0,0,0,0
Fajr Sepasi,Pars Jam Bushehr,0,0,0,0
Pars Jam Bushehr,Shahrdari Astara,0,0,0,0
Van Pars Isfahan,Khooshe Talaee Saveh,0,0,0,0
Kheybar Khorramabad,Shahrdari Hamedan,0,0,0,0
Chadormalu SC,Khalij Fars,0,0,0,0
Saipa,Esteghlal Mollasani,0,0,0,0
Mes Shahr-e Babak,Fajr Sepasi,0,0,0,0
Chooka Talesh,Darya Babol,0,0,0,0
Esteghlal Khuzestan,Arman Gohar,0,0,0,0
